"id","type","value","id_jo","id_country"
1100,"bronze",0,1,121
1101,"none",6,21,17
1102,"bronze",1,1,195
1103,"bronze",0,7,195
1104,"none",7,0,246
1105,"none",10,1,17
1106,"none",7,12,246
1107,"none",3,1,246
1108,"none",2,1,165
1109,"none",6,12,117
1110,"none",4,0,117
1111,"none",4,8,165
1112,"none",3,8,246
1113,"none",8,12,233
1114,"none",9,21,177
1115,"none",3,19,109
1116,"none",1,7,246
1117,"none",4,7,233
1118,"gold",0,14,233
1119,"none",4,1,212
1120,"none",4,8,117
1121,"none",22,22,226
1122,"silver",0,7,195
1123,"none",51,12,79
1124,"none",58,1,79
1125,"gold",2,1,209
1126,"none",76,23,21
1127,"none",50,24,21
1128,"none",0,10,227
1129,"none",4,5,227
1130,"none",48,25,134
1131,"none",8,1,78
1132,"none",7,21,18
1133,"none",3,8,18
1134,"none",3,14,23
1135,"none",62,25,79
1136,"none",5,27,227
1137,"silver",1,0,56
1138,"none",3,14,159
1139,"none",6,21,23
1140,"bronze",5,4,79
1141,"none",16,15,79
1142,"gold",2,15,79
1143,"none",4,1,241
1144,"none",50,19,209
1145,"none",33,21,51
1146,"none",94,19,113
1147,"bronze",8,19,113
1148,"none",118,23,113
1149,"none",34,2,113
1150,"silver",5,3,113
1151,"none",47,3,113
1152,"bronze",7,4,113
1153,"none",49,4,113
1154,"gold",7,4,113
1155,"none",52,10,113
1156,"silver",6,10,113
1157,"none",79,14,10
1158,"none",64,12,10
1159,"none",81,22,209
1160,"silver",3,7,209
1161,"silver",7,23,113
1162,"none",102,8,215
1163,"bronze",7,22,104
1164,"none",185,0,41
1165,"none",185,21,41
1166,"none",26,12,114
1167,"none",20,1,114
1168,"none",17,15,113
1169,"none",5,4,64
1170,"none",15,26,64
1171,"none",121,0,174
1172,"gold",22,12,181
1173,"none",66,10,238
1174,"none",73,5,238
1175,"none",8,22,171
1176,"none",21,13,179
1177,"none",57,5,41
1178,"none",87,22,216
1179,"none",48,25,216
1180,"none",39,5,14
1181,"none",26,26,35
1182,"bronze",6,5,216
1183,"none",81,20,215
1184,"gold",4,23,215
1185,"none",11,29,220
1186,"none",50,22,175
1187,"none",7,22,16
1188,"none",11,19,16
1189,"none",9,23,239
1190,"none",10,13,141
1191,"none",28,11,234
1192,"none",37,9,234
1193,"bronze",9,8,31
1194,"silver",3,23,57
1195,"gold",7,24,57
1196,"none",36,19,95
1197,"none",73,19,57
1198,"none",19,1,95
1199,"none",19,25,175
1200,"none",27,20,175
1201,"none",21,3,10
1202,"none",13,24,114
1203,"none",89,25,41
1204,"none",67,20,220
1205,"none",43,23,220
1206,"none",59,24,220
1207,"none",101,7,180
1208,"silver",10,12,209
1209,"none",69,12,157
1210,"none",24,1,176
1211,"none",14,21,67
1212,"none",15,8,67
1213,"none",48,8,130
1214,"gold",1,7,130
1215,"gold",0,14,130
1216,"bronze",2,12,130
1217,"none",53,1,35
