"id","type","id_jo","id_country"
755,"none",26,86
756,"none",26,86
757,"none",9,86
758,"none",9,86
759,"none",13,20
760,"none",11,232
761,"none",26,232
762,"none",9,232
763,"none",26,20
764,"none",26,20
765,"none",26,20
766,"none",26,20
767,"none",9,20
768,"none",9,20
769,"none",9,20
770,"none",9,20
771,"none",9,20
772,"none",0,149
773,"none",8,86
774,"none",8,203
775,"none",4,86
776,"none",10,86
777,"none",22,
778,"none",12,181
779,"none",12,181
780,"none",25,
781,"Bronze",14,181
782,"none",4,181
783,"none",24,
784,"none",21,
785,"none",21,
786,"Silver",25,
787,"none",11,181
788,"none",11,181
789,"Bronze",11,181
790,"none",26,181
791,"none",11,56
792,"none",11,56
793,"none",26,181
794,"none",26,181
795,"none",13,99
796,"none",21,99
797,"none",22,157
798,"none",13,86
799,"none",21,175
800,"none",21,175
801,"none",0,175
802,"none",8,175
803,"none",12,175
804,"none",1,175
805,"none",21,175
806,"none",8,80
807,"none",4,35
808,"none",1,216
809,"none",4,87
810,"none",4,87
811,"none",3,174
812,"none",3,174
813,"none",10,174
814,"none",10,174
815,"none",5,174
816,"none",5,174
817,"none",13,175
818,"none",23,57
819,"none",14,31
820,"none",19,175
821,"none",19,175
822,"none",19,175
823,"none",19,175
824,"none",19,175
825,"none",19,175
826,"none",19,175
827,"none",23,170
828,"none",23,170
829,"none",23,170
830,"none",12,6
831,"none",18,31
832,"none",24,57
833,"none",8,242
834,"none",23,175
835,"none",23,175
836,"none",24,175
837,"none",24,175
838,"none",24,175
839,"none",21,80
840,"none",1,51
841,"none",13,51
842,"none",1,51
843,"Bronze",13,209
844,"none",13,65
845,"none",13,181
846,"none",7,181
847,"Bronze",12,181
848,"Gold",24,
849,"Gold",14,80
850,"Gold",12,80
851,"none",1,80
852,"none",13,80
853,"none",1,75
854,"none",21,238
855,"none",5,87
856,"none",21,
857,"none",21,
858,"none",5,181
859,"none",12,108
860,"none",12,18
861,"none",14,109
862,"none",18,195
863,"none",18,195
864,"none",1,117
865,"none",13,117
866,"none",0,134
867,"none",8,134
868,"none",8,211
869,"none",1,211
870,"none",7,117
871,"none",14,117
872,"none",8,118
873,"none",14,212
874,"none",12,212
875,"none",14,211
876,"none",7,46
877,"none",21,119
878,"none",12,160
879,"none",12,160
880,"none",19,171
881,"none",25,171
882,"none",19,171
883,"none",14,128
884,"Gold",13,117
885,"none",14,205
886,"none",22,115
887,"none",22,115
888,"none",22,115
889,"none",22,115
890,"none",22,115
891,"none",22,115
892,"none",25,115
893,"Bronze",25,115
894,"none",25,115
895,"none",25,115
896,"none",25,115
897,"none",25,115
898,"none",13,211
899,"none",1,117
900,"none",13,195
901,"none",8,143
902,"none",18,121
903,"none",18,121
904,"none",14,115
905,"none",14,143
906,"none",23,
907,"none",23,
908,"none",24,
909,"Bronze",24,
910,"Gold",24,
911,"none",12,118
912,"none",1,118
913,"none",14,177
914,"none",21,117
915,"none",12,181
916,"none",1,181
917,"none",19,227
918,"none",20,80
919,"none",23,80
920,"none",12,180
921,"Bronze",12,180
922,"none",12,180
923,"none",12,180
924,"none",20,80
925,"none",23,80
926,"Gold",1,80
927,"none",8,209
928,"none",4,216
929,"none",10,216
930,"none",2,216
931,"Bronze",2,216
932,"none",3,216
933,"none",3,216
934,"none",3,216
935,"none",3,216
936,"none",3,216
937,"none",4,216
938,"none",4,216
939,"none",4,216
940,"none",4,216
941,"none",10,216
942,"none",10,216
943,"none",10,216
944,"none",10,216
945,"none",5,216
946,"none",5,216
947,"none",7,57
948,"none",1,57
949,"none",0,209
950,"none",22,45
951,"none",20,113
952,"none",21,239
953,"none",21,239
954,"none",19,70
955,"Bronze",0,176
956,"none",0,51
957,"none",20,51
958,"none",20,51
959,"none",19,171
960,"none",20,171
961,"none",13,41
962,"none",13,41
963,"none",12,242
964,"none",13,51
965,"none",13,51
966,"Silver",18,143
967,"none",18,143
968,"none",19,234
969,"none",20,234
970,"none",23,108
971,"none",13,21
972,"none",0,149
973,"none",13,143
974,"none",22,172
975,"none",1,209
976,"none",14,106
977,"none",12,106
978,"none",13,106
979,"none",1,234
980,"none",7,87
981,"none",25,88
982,"none",13,88
983,"Bronze",0,88
984,"Silver",18,216
985,"none",26,125
986,"none",26,125
987,"none",18,231
988,"Bronze",21,149
989,"none",21,149
990,"Bronze",0,149
991,"none",8,149
992,"none",7,234
993,"none",12,234
994,"none",18,155
995,"none",18,155
996,"none",9,180
997,"none",9,180
998,"none",16,
999,"none",27,
1000,"Bronze",27,
1001,"none",1,231
1002,"none",8,231
1003,"none",7,231
1004,"none",1,41
1005,"none",13,41
1006,"none",18,69
