"id","name","sex","height","wheight","team","id_country"
81798,"Tony Schumacher","M","182","86","Australia",13
81799,"Frederick  Schumann","M","175","65","Guam",94
81800,"Heinz Schumann","M","179","76","Germany",87
81801,"Jochen Schmann","M","188","94","East Germany",
81802,"Manfred Schumann","M","186","86","West Germany",
81803,"Margit Schumann (-Esmarch)","F","167","68","East Germany",
81804,"Nils Schumann","M","192","80","Germany",87
81805,"Ralf Schumann","M","167","73","East Germany",
81806,"Rudi Schumann","M","184","82","East Germany",
81807,"Ulrike  Schmann","F","163","62","Germany",87
81808,"Christa M. Schumann-Lottmann","F","162","51","Guatemala",95
81809,"Raymond Schummer","M","181","79","Luxembourg",131
81810,"Kroly Schupkgel","M","157","55","Hungary",104
81811,"Heinz Schupp","M","179","74","Austria",14
81812,"Frederikus Johannes Maria Goduwes  Schr","M","177","74","Netherlands",155
81813,"Gustav-Adolf Schur","M","175","73","Germany",87
81814,"Jan Schur","M","180","73","East Germany",
81815,"Hans-Joachim Schr","M","167","51","West Germany",
81816,"Simon Schrch","M","186","75","Switzerland",216
81817,"Stephan Schurich","M","189","74","Austria",14
81818,"Yvonne Schuring","F","173","79","Austria",14
81819,"Christian Alexander Schurr Voight","M","173","80","Mexico",143
81820,"Theobald  Schurte","M","170","88","Liechtenstein",129
81821,"Niklaus Schurtenberger","M","188","84","Switzerland",216
81822,"Nino Schurter","M","173","68","Switzerland",216
81823,"Brittany Anne Schussler","F","170","63","Canada",41
81824,"Axel Schuster","M","183","71","Germany",87
81825,"Brandon Schuster","M","188","75","Samoa",191
81826,"Gnther Schuster","M","199","92","Austria",14
81827,"Lisa Christine Schuster","F","169","70","Germany",87
81828,"Manfred Schuster","M","187","86","West Germany",
81829,"Norman Schuster","M","175","60","Germany",87
81830,"Stefanie  Schuster","F","170","60","Austria",14
81831,"Susanne Schuster (-Boerhoff)","F","178","60","West Germany",
81832,"Karola Schustereder","F","174","57","Austria",14
81833,"Johanna  Schut (-Boekema)","F","170","67","Netherlands",155
81834,"Abraham Jacobus  Schutte","M","178","70","South Africa",206
81835,"Louise Henritte Maria  Schutte","F","168","66","Netherlands",155
81836,"Ronja Schtte","F","180","72","Germany",87
81837,"Regina Felicitas Schttenhelm","F","174","72","Germany",87
81838,"Eltjo Marinus Jan Schutter","M","191","78","Netherlands",155
81839,"Rainer Schttler","M","180","70","Germany",87
81840,"Birgit Schtz","F","179","76","East Germany",
81841,"Celita Valerie Schutz","F","165","68","United States",238
81842,"Eduard  Schtz","M","176","72","Luxembourg",131
81843,"Richard George  Schutz","M","185","104","United States",238
81844,"Uta Schtz","F","177","63","West Germany",
81845,"Christina Schtze","F","177","62","Germany",87
81846,"Frank Schtze","M","187","82","West Germany",
81847,"Jrgen Schtze","M","187","87","East Germany",
81848,"Lisa Schtze","F","172","61","Germany",87
81849,"Martin Schtzenauer","M","179","87","Austria-2",14
81850,"Cornelis  Schuuring","M","186","81","Netherlands",155
81851,"Glenn Schuurman","M","183","79","Netherlands",155
81852,"Jennieli  Schuverer","F",,,"Panama",168
81853,"Carolyn Jeni Schuwalow (-Lloyd)","F","163","46","Australia",13
81854,"Falk Schwaar","M","175","70","Germany",87
81855,"Andreas Schwab","M",,,"Austria-2",14
81856,"Douglas  Schwab","M","165","66","United States",238
81857,"Nicholas Schwab Alfaro","M","180","75","Dominican Republic",67
81858,"Thomas Schwab","M","180","82","West Germany-2",
81859,"Hartmut Schwabe","M","183","73","East Germany",
81860,"Georg Schwabenland","M","173","68","Germany",87
81861,"Doris Schwaiger (-Robl)","F","171","55","Austria",14
81862,"Stefanie Schwaiger","F","182","71","Austria",14
81863,"Martin Schwalb","M","194","85","West Germany",
81864,"Ingeborg  Schwalbe (Gnther-)","F","166","70","Germany",87
81865,"Ren Schwall","M","183","73","Germany",87
81866,"Thomas  Schwall","M","183","64","United States",238
81867,"Andreas  Schwaller","M","174","72","Switzerland",216
81868,"Anita Schwaller (-Stheli)","F","166","55","Switzerland",216
81869,"Christof Schwaller","M","179","89","Switzerland",216
81870,"Bla Schwalm","M","183","83","Hungary",104
81871,"Michael Schwan","M","187","87","Germany",87
81872,"Christina Schwanitz","F","180","115","Germany",87
81873,"Eduardo Schwank","M","183","83","Argentina",10
81874,"Carlos Eduardo Schwanke","M","197","89","Brazil",31
81875,"Athos Marangon Schwantes","M","190","85","Brazil",31
