"id","type","id_jo","id_event","id_athlete"
227041,"none",1,143,113434
227042,"none",20,143,113434
227043,"none",34,431,113435
227044,"none",7,29,113435
227045,"none",25,115,113436
227046,"none",12,280,113437
227047,"none",19,280,113437
227048,"Silver",17,302,113438
227049,"none",12,238,113439
227050,"none",18,13,113440
227051,"Gold",15,13,113440
227052,"none",35,87,113441
227053,"none",13,141,113442
227054,"none",13,423,113442
227055,"none",18,243,113443
227056,"none",38,243,113443
227057,"none",20,72,113444
227058,"none",12,318,113445
227059,"none",28,280,113446
227060,"none",28,345,113446
227061,"none",0,280,113446
227062,"none",28,318,113447
227063,"none",28,331,113447
227064,"none",12,318,113447
227065,"Gold",3,3,113448
227066,"none",3,46,113448
227067,"none",3,180,113448
227068,"none",3,635,113448
227069,"none",3,116,113448
227070,"Gold",38,13,113449
227071,"none",0,234,113450
227072,"none",12,234,113450
227073,"none",12,438,113450
227074,"none",11,234,113450
227075,"none",11,438,113450
227076,"none",27,343,113451
227077,"none",35,343,113451
227078,"none",13,21,113452
227079,"none",13,40,113452
227080,"none",13,65,113453
227081,"Silver",33,378,113454
227082,"none",27,349,113455
227083,"none",27,367,113455
227084,"none",27,230,113455
227085,"none",12,209,113456
227086,"none",1,164,113457
227087,"none",20,164,113457
227088,"none",4,31,113458
227089,"none",4,32,113458
227090,"none",19,184,113459
227091,"none",1,187,113459
227092,"none",1,188,113459
227093,"none",20,106,113459
227094,"none",20,187,113459
227095,"none",20,188,113459
227096,"none",25,260,113460
227097,"none",28,260,113460
227098,"none",25,291,113461
227099,"none",9,147,113462
227100,"none",9,142,113462
227101,"none",11,405,113463
227102,"none",21,405,113463
227103,"none",25,107,113464
227104,"none",28,122,113464
227105,"none",28,106,113464
227106,"none",28,184,113464
227107,"none",28,107,113464
227108,"none",0,185,113464
227109,"none",0,149,113464
227110,"none",0,53,113464
227111,"Bronze",21,124,113465
227112,"none",36,11,113466
227113,"none",36,174,113466
227114,"none",36,12,113466
227115,"none",26,388,113467
227116,"none",27,388,113467
227117,"none",26,190,113468
227118,"none",27,89,113468
227119,"Gold",16,149,113469
