"id","id_country","nb_athlete","id_jo"
956,216,70,2
957,239,15,21
958,149,27,21
959,40,15,21
960,231,24,21
961,31,160,21
962,143,83,21
963,140,6,21
964,174,32,2
965,190,6,21
966,234,345,21
967,176,47,21
968,13,252,21
969,114,35,21
970,172,31,21
971,205,5,21
972,88,16,21
973,107,29,21
974,216,99,21
975,108,23,21
976,166,30,21
977,100,4,21
978,137,6,21
979,10,118,21
980,222,6,21
981,55,16,21
982,45,17,21
983,79,78,21
984,215,67,2
985,149,3,2
986,227,41,21
987,235,10,21
988,195,9,21
989,217,13,21
990,165,8,21
991,17,7,21
992,177,10,21
993,18,6,21
994,23,7,21
995,51,40,21
996,113,58,2
997,41,328,21
998,67,16,21
999,35,27,2
1000,90,56,21
1001,24,12,21
1002,191,11,21
1003,238,117,2
1004,80,68,2
1005,164,69,21
1006,143,11,2
1007,171,21,21
1008,134,9,21
1009,43,15,21
1010,220,155,21
1011,112,18,21
1012,63,15,21
1013,178,401,21
1014,90,6,2
1015,94,19,21
1016,157,83,21
1017,180,68,21
1018,103,8,21
1019,180,11,2
1020,212,8,21
1021,14,73,21
1022,21,59,21
1023,14,81,2
1024,95,28,21
1025,26,6,2
1026,105,32,21
1027,150,8,21
1028,176,9,2
1029,131,8,21
1030,10,15,2
1031,59,3,2
1032,234,48,2
1033,33,3,21
1034,78,23,21
1035,213,6,21
1036,19,17,21
1037,196,23,21
1038,47,48,21
1039,169,11,21
1040,70,6,21
1041,146,28,21
1042,59,9,21
1043,61,28,21
1044,133,16,21
1045,178,22,2
1046,97,6,21
1047,42,8,21
1048,237,22,21
1049,248,29,21
1050,174,143,21
1051,64,78,21
1052,94,1,2
1053,6,24,21
1054,154,16,21
1055,129,12,21
1056,145,9,21
1057,204,4,21
1058,26,7,21
1059,129,13,2
1060,41,112,2
1061,22,10,21
1062,53,7,21
1063,220,22,2
1064,175,5,2
1065,192,11,21
1066,145,3,2
1067,13,19,2
1068,127,8,21
1069,227,8,2
1070,79,53,2
1071,27,3,21
1072,170,10,21
1073,242,17,21
1074,210,6,21
1075,71,6,21
1076,84,2,21
1077,9,15,21
1078,95,6,2
1079,110,61,21
1080,247,29,21
1081,46,273,21
1082,136,6,21
1083,192,5,2
1084,27,2,2
1085,68,13,21
1086,0,61,21
1087,219,14,21
1088,225,6,21
1089,0,13,2
1090,141,8,21
1091,92,6,21
1092,16,16,21
1093,157,9,2
1094,1,5,21
1095,146,3,2
1096,85,6,21
1097,241,4,21
1098,243,9,21
1099,106,3,2
1100,168,6,21
1101,74,11,21
1102,199,12,21
1103,25,3,21
1104,64,1,2
1105,182,6,21
1106,104,5,2
1107,5,4,2
1108,4,6,21
1109,224,5,21
1110,12,8,21
1111,44,6,21
1112,29,8,21
1113,131,1,2
1114,5,3,21
1115,62,6,2
1116,114,4,2
1117,105,3,2
1118,46,13,2
1119,36,6,21
1120,54,7,21
1121,126,6,21
1122,151,2,21
1123,55,2,2
1124,45,5,2
1125,125,4,2
1126,172,1,2
1127,21,1,2
1128,78,1,2
1129,123,3,21
1130,46,244,0
1131,155,19,3
1132,238,148,3
1133,164,79,3
1134,79,88,0
1135,164,83,0
1136,73,37,0
1137,44,6,0
1138,57,176,0
1139,45,12,0
1140,104,217,0
1141,113,304,0
1142,166,27,0
1143,69,75,0
