"id","noc","year","value"
493,"ARE",1965,
494,"ARE",1966,
495,"ARE",1967,
496,"ARE",1968,
497,"ARE",1969,
498,"ARE",1970,
499,"ARE",1971,
500,"ARE",1972,
501,"ARE",1973,
502,"ARE",1974,
503,"ARE",1975,"14720672506.5004"
504,"ARE",1976,"19213022691.0526"
505,"ARE",1977,"24871775164.6043"
506,"ARE",1978,"23775831783.4263"
507,"ARE",1979,"31225463217.7582"
508,"ARE",1980,"43598748449.0479"
509,"ARE",1981,"49333424135.1131"
510,"ARE",1982,"46622718605.2847"
511,"ARE",1983,"42803323345.1376"
512,"ARE",1984,"41807954235.903"
513,"ARE",1985,"40603650231.5445"
514,"ARE",1986,"33943612094.7971"
515,"ARE",1987,"36384908744.2114"
516,"ARE",1988,"36275674203.2144"
517,"ARE",1989,"41464995913.9199"
518,"ARE",1990,"50701443748.2975"
519,"ARE",1991,"51552165622.4462"
520,"ARE",1992,"54239171887.769"
521,"ARE",1993,"55625170253.337"
522,"ARE",1994,"59305093979.842"
523,"ARE",1995,"65743666575.8649"
524,"ARE",1996,"73571233996.1863"
525,"ARE",1997,"78839008444.5655"
526,"ARE",1998,"75674336283.1858"
527,"ARE",1999,"84445473110.9598"
528,"ARE",2000,"104337372362.151"
529,"ARE",2001,"103311640571.818"
530,"ARE",2002,"109816201497.617"
531,"ARE",2003,"124346358066.712"
532,"ARE",2004,"147824370319.946"
533,"ARE",2005,"180617467964.602"
534,"ARE",2006,"222116541865.214"
535,"ARE",2007,"257916133424.098"
536,"ARE",2008,"315474615738.598"
537,"ARE",2009,"253547358747.447"
538,"ARE",2010,"289787338325.391"
539,"ARE",2011,"350666031313.819"
540,"ARE",2012,"374590605854.323"
541,"ARE",2013,"390107556160.654"
542,"ARE",2014,"403137100068.074"
543,"ARE",2015,"358135057862.492"
544,"ARE",2016,"357045064669.843"
545,"ARE",2017,"385605506848.196"
546,"ARE",2018,"422215043594.282"
547,"ARE",2019,"421142267937.372"
548,"ARE",2020,
549,"ARG",1960,
550,"ARG",1961,
551,"ARG",1962,"24450604877.6081"
552,"ARG",1963,"18272123664.4715"
553,"ARG",1964,"25605249381.7597"
554,"ARG",1965,"28344705966.6389"
555,"ARG",1966,"28630474727.9023"
556,"ARG",1967,"24256667553.2569"
557,"ARG",1968,"26436857247.4982"
558,"ARG",1969,"31256284543.6155"
559,"ARG",1970,"31584210365.5447"
560,"ARG",1971,"33293199095.4881"
561,"ARG",1972,"34733000536.2862"
562,"ARG",1973,"52544000116.9037"
563,"ARG",1974,"72436777342.4554"
564,"ARG",1975,"52438647921.9226"
565,"ARG",1976,"51169499890.7722"
566,"ARG",1977,"56781000100.9448"
567,"ARG",1978,"58082870156.2634"
568,"ARG",1979,"69252328953.3789"
569,"ARG",1980,"76961923741.9479"
570,"ARG",1981,"78676842366.4213"
571,"ARG",1982,"84307486836.724"
572,"ARG",1983,"103979106777.911"
573,"ARG",1984,"79092001998.032"
574,"ARG",1985,"88416668900.2596"
575,"ARG",1986,"110934442762.694"
576,"ARG",1987,"111106191358.197"
577,"ARG",1988,"126206817196.091"
578,"ARG",1989,"76636898036.4712"
579,"ARG",1990,"141352368714.691"
580,"ARG",1991,"189719984268.485"
581,"ARG",1992,"228788617201.696"
582,"ARG",1993,"236741715015.015"
583,"ARG",1994,"257440000000"
584,"ARG",1995,"258031750000"
585,"ARG",1996,"272149750000"
586,"ARG",1997,"292859000000"
587,"ARG",1998,"298948250000"
588,"ARG",1999,"283523000000"
589,"ARG",2000,"284203750000"
590,"ARG",2001,"268696750000"
591,"ARG",2002,"97724004251.8602"
592,"ARG",2003,"127586973492.177"
593,"ARG",2004,"164657930452.787"
594,"ARG",2005,"198737095012.282"
595,"ARG",2006,"232557260817.308"
596,"ARG",2007,"287530508430.568"
597,"ARG",2008,"361558037110.419"
598,"ARG",2009,"332976484577.619"
599,"ARG",2010,"423627422092.49"
600,"ARG",2011,"530163281574.658"
601,"ARG",2012,"545982375701.128"
602,"ARG",2013,"552025140252.246"
603,"ARG",2014,"526319673731.638"
604,"ARG",2015,"594749285413.212"
605,"ARG",2016,"557531376217.967"
606,"ARG",2017,"643628665302.155"
607,"ARG",2018,"517626700412.885"
608,"ARG",2019,"445445177459.453"
609,"ARG",2020,"383066977653.56"
610,"ARM",1960,
611,"ARM",1961,
612,"ARM",1962,
613,"ARM",1963,
614,"ARM",1964,
615,"ARM",1965,
616,"ARM",1966,
