"id","name","id_sport"
386,"Skeleton Men's Skeleton",53
387,"Shooting Mixed Rapid-Fire Pistol, 25 metres",25
388,"Canoeing Men's Canadian Singles, Slalom",30
389,"Luge Men's Singles",18
390,"Shooting Men's Free Rifle, Three Positions, 300 metres",25
391,"Luge Mixed (Men)'s Doubles",18
392,"Sailing Mixed Multihull",10
393,"Badminton Women's Doubles",9
394,"Speed Skating Women's 3,000 metres",4
395,"Cross Country Skiing Women's 5/10 kilometres Pursuit",5
396,"Cross Country Skiing Women's 4 x 5 kilometres Relay",5
397,"Cross Country Skiing Women's 15 kilometres",5
398,"Cross Country Skiing Women's 5/5 kilometres Pursuit",5
399,"Diving Women's Synchronized Platform",29
400,"Athletics Women's Triple Jump",6
401,"Skeleton Women's Skeleton",53
402,"Boxing Women's Lightweight",26
403,"Cycling Women's BMX",28
404,"Canoeing Men's Kayak Doubles, 200 metres",30
405,"Canoeing Women's Kayak Singles, 500 metres",30
406,"Athletics Women's 10 kilometres Walk",6
407,"Judo Women's Extra-Lightweight",1
408,"Diving Men's Synchronized Springboard",29
409,"Sailing Mixed Two Person Dinghy",10
410,"Short Track Speed Skating Women's 3,000 metres Relay",52
411,"Freestyle Skiing Women's Moguls",43
412,"Short Track Speed Skating Men's 500 metres",52
413,"Shooting Men's Running Target, 10 metres",25
414,"Cycling Men's BMX",28
415,"Cross Country Skiing Men's 10/10 kilometres Pursuit",5
416,"Ski Jumping Women's Normal Hill, Individual",48
417,"Short Track Speed Skating Men's 1,000 metres",52
418,"Short Track Speed Skating Men's 1,500 metres",52
419,"Judo Women's Middleweight",1
420,"Judo Women's Lightweight",1
421,"Cross Country Skiing Men's Team Sprint",5
422,"Snowboarding Women's Halfpipe",50
423,"Canoeing Women's Kayak Singles, 200 metres",30
424,"Tennis Women's Singles",31
425,"Canoeing Men's Kayak Relay 4 x 500 metres",30
426,"Cross Country Skiing Women's Sprint",5
427,"Rowing Women's Coxed Fours",21
428,"Canoeing Men's Canadian Singles, 500 metres",30
429,"Fencing Women's epee, Team",23
430,"Sailing Mixed Skiff",10
431,"Swimming Women's 10 kilometres Open Water",8
432,"Snowboarding Women's Slopestyle",50
433,"Snowboarding Men's Giant Slalom",50
434,"Snowboarding Men's Parallel Giant Slalom",50
